created_at,entry_id,field1,latitude,longitude,elevation,status
2025-03-04T18:42:13+00:00,1,236.84399,,,,
2025-03-04T18:42:29+00:00,2,235.58600,,,,
2025-03-04T18:42:45+00:00,3,6.06900,,,,
2025-03-04T18:43:01+00:00,4,235.58600,,,,
2025-03-04T18:43:17+00:00,5,235.60300,,,,
2025-03-04T18:43:33+00:00,6,238.10201,,,,
2025-03-04T18:43:48+00:00,7,237.30299,,,,
2025-03-04T18:44:04+00:00,8,2.83900,,,,
2025-03-04T18:44:20+00:00,9,236.01100,,,,
2025-03-04T18:44:36+00:00,10,236.41901,,,,
2025-03-04T18:44:52+00:00,11,235.56900,,,,
2025-03-04T18:50:05+00:00,12,236.43600,,,,
2025-03-04T18:50:21+00:00,13,237.23500,,,,
2025-03-04T18:56:02+00:00,14,236.41901,,,,
2025-03-04T19:05:45+00:00,15,268.73599,,,,
2025-03-04T19:06:01+00:00,16,269.12701,,,,
2025-03-04T19:06:17+00:00,17,269.56900,,,,
2025-03-04T19:06:32+00:00,18,269.51801,,,,
2025-03-04T19:06:48+00:00,19,269.53500,,,,
2025-03-04T19:07:04+00:00,20,4.62400,,,,
2025-03-04T19:07:20+00:00,21,1191.53003,,,,
2025-03-04T19:07:40+00:00,22,269.07599,,,,
2025-03-04T19:07:56+00:00,23,3.96100,,,,
2025-03-04T19:08:12+00:00,24,270.33401,,,,
2025-03-04T19:08:28+00:00,25,266.88300,,,,
2025-03-04T19:08:43+00:00,26,242.25000,,,,
2025-03-04T19:08:59+00:00,27,267.30801,,,,
2025-03-04T19:09:15+00:00,28,267.17200,,,,
2025-03-04T19:09:31+00:00,29,268.63400,,,,
2025-03-04T19:09:47+00:00,30,3.72300,,,,
2025-03-04T19:10:03+00:00,31,6.85100,,,,
2025-03-04T19:10:18+00:00,32,266.57700,,,,
2025-03-04T19:10:34+00:00,33,266.59399,,,,
2025-03-04T19:10:50+00:00,34,267.42700,,,,
2025-03-04T19:11:06+00:00,35,266.59399,,,,
2025-03-04T19:11:22+00:00,36,266.61099,,,,
2025-03-04T19:11:38+00:00,37,267.01901,,,,
2025-03-04T19:11:53+00:00,38,265.74399,,,,
2025-03-04T19:12:09+00:00,39,265.30200,,,,
2025-03-04T19:12:25+00:00,40,5.10000,,,,
2025-03-04T19:12:41+00:00,41,1191.13904,,,,
2025-03-04T19:12:57+00:00,42,264.89401,,,,
2025-03-04T19:13:13+00:00,43,267.01901,,,,
2025-03-04T19:13:28+00:00,44,265.74399,,,,
2025-03-04T19:13:44+00:00,45,265.76099,,,,
2025-03-04T19:14:00+00:00,46,265.35300,,,,
2025-03-04T19:14:16+00:00,47,266.59399,,,,
2025-03-04T19:14:32+00:00,48,268.36200,,,,
2025-03-04T19:14:48+00:00,49,266.20300,,,,
2025-03-04T19:15:03+00:00,50,5.25300,,,,
2025-03-04T19:15:19+00:00,51,265.77802,,,,
2025-03-04T19:15:35+00:00,52,265.31900,,,,
2025-03-04T19:15:51+00:00,53,1191.02002,,,,
2025-03-04T19:16:07+00:00,54,1191.03699,,,,
2025-03-04T19:16:23+00:00,55,267.01901,,,,
2025-03-04T19:16:38+00:00,56,5.49100,,,,
2025-03-04T19:16:54+00:00,57,265.30200,,,,
2025-03-04T19:17:10+00:00,58,265.28500,,,,
2025-03-04T19:17:43+00:00,59,265.33600,,,,
2025-03-04T19:17:59+00:00,60,265.70999,,,,
2025-03-04T19:18:15+00:00,61,266.16901,,,,
2025-03-04T19:18:31+00:00,62,267.00201,,,,
2025-03-04T19:18:47+00:00,63,265.33600,,,,
2025-03-04T19:19:03+00:00,64,264.87701,,,,
2025-03-04T19:19:18+00:00,65,265.31900,,,,
2025-03-04T19:19:34+00:00,66,266.16901,,,,
2025-03-04T19:19:50+00:00,67,267.42700,,,,
2025-03-04T19:20:06+00:00,68,1191.02002,,,,
2025-03-04T19:20:22+00:00,69,264.91101,,,,
2025-03-04T19:20:37+00:00,70,4.31800,,,,
2025-03-04T19:20:53+00:00,71,1190.91797,,,,
2025-03-04T19:21:09+00:00,72,267.85199,,,,
2025-03-04T19:21:25+00:00,73,267.01901,,,,
2025-03-04T19:21:41+00:00,74,266.61099,,,,
2025-03-04T19:21:57+00:00,75,268.29401,,,,
2025-03-04T19:22:13+00:00,76,269.14401,,,,
2025-03-04T19:22:29+00:00,77,269.95999,,,,
2025-03-04T19:22:44+00:00,78,267.46100,,,,
2025-03-04T19:23:00+00:00,79,1191.17297,,,,
2025-03-04T19:23:16+00:00,80,269.14401,,,,
2025-03-04T19:23:32+00:00,81,4.50500,,,,
2025-03-04T19:23:48+00:00,82,267.01901,,,,
2025-03-04T19:24:04+00:00,83,269.12701,,,,
2025-03-04T19:24:19+00:00,84,268.70200,,,,
2025-03-04T19:24:35+00:00,85,269.14401,,,,
2025-03-04T19:24:51+00:00,86,6.27300,,,,
2025-03-04T19:25:07+00:00,87,269.14401,,,,
2025-03-04T19:25:23+00:00,88,267.85199,,,,
2025-03-04T19:25:39+00:00,89,267.41000,,,,
2025-03-04T19:25:54+00:00,90,269.14401,,,,
2025-03-04T19:26:10+00:00,91,267.86899,,,,
2025-03-04T19:26:26+00:00,92,266.59399,,,,
2025-03-04T19:26:42+00:00,93,266.57700,,,,
2025-03-04T19:26:58+00:00,94,269.51801,,,,
2025-03-04T19:27:14+00:00,95,267.44400,,,,
2025-03-04T19:27:29+00:00,96,1191.05396,,,,
